Cdif-ST-12	Cdif-recA-3	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-4	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-13	Cdif-recA-5	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-14	Cdif-recA-5	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-15	Cdif-recA-8	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-16	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-17	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-18	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-5	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-19	Cdif-recA-1	Cdif-dxr-8	Cdif-tpi-3	Cdif-glyA-2	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-20	Cdif-recA-1	Cdif-dxr-8	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-4	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-21	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-2	Cdif-adk-2
Cdif-ST-22	Cdif-recA-2	Cdif-dxr-4	Cdif-tpi-7	Cdif-glyA-7	Cdif-sodA-8	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-23	Cdif-recA-11	Cdif-dxr-14	Cdif-tpi-15	Cdif-glyA-14	Cdif-sodA-16	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-24	Cdif-recA-1	Cdif-dxr-8	Cdif-tpi-3	Cdif-glyA-12	Cdif-sodA-4	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-25	Cdif-recA-2	Cdif-dxr-4	Cdif-tpi-7	Cdif-glyA-7	Cdif-sodA-8	Cdif-atpA-6	Cdif-adk-6
Cdif-ST-26	Cdif-recA-4	Cdif-dxr-6	Cdif-tpi-4	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-27	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-4	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-28	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-29	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-16	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-30	Cdif-recA-6	Cdif-dxr-14	Cdif-tpi-15	Cdif-glyA-8	Cdif-sodA-16	Cdif-atpA-7	Cdif-adk-8
