stid	a1	a2	a3	a4	a5	a6	a7
Cfre-ST-59	Cfre-clpX-39	Cfre-mdh-18	Cfre-aspC-23	Cfre-arcA-14	Cfre-dnaG-35	Cfre-fadD-44	Cfre-lysP-19
Cfre-ST-60	Cfre-clpX-40	Cfre-mdh-38	Cfre-aspC-39	Cfre-arcA-26	Cfre-dnaG-36	Cfre-fadD-45	Cfre-lysP-38
Cfre-ST-61	Cfre-clpX-31	Cfre-mdh-46	Cfre-aspC-7	Cfre-arcA-1	Cfre-dnaG-1	Cfre-fadD-8	Cfre-lysP-6
Cfre-ST-62	Cfre-clpX-10	Cfre-mdh-13	Cfre-aspC-48	Cfre-arcA-32	Cfre-dnaG-6	Cfre-fadD-14	Cfre-lysP-45
Cfre-ST-63	Cfre-clpX-50	Cfre-mdh-47	Cfre-aspC-49	Cfre-arcA-33	Cfre-dnaG-45	Cfre-fadD-57	Cfre-lysP-16
Cfre-ST-64	Cfre-clpX-51	Cfre-mdh-15	Cfre-aspC-10	Cfre-arcA-5	Cfre-dnaG-11	Cfre-fadD-14	Cfre-lysP-11
Cfre-ST-65	Cfre-clpX-17	Cfre-mdh-48	Cfre-aspC-16	Cfre-arcA-12	Cfre-dnaG-11	Cfre-fadD-20	Cfre-lysP-46
Cfre-ST-66	Cfre-clpX-47	Cfre-mdh-5	Cfre-aspC-14	Cfre-arcA-1	Cfre-dnaG-1	Cfre-fadD-5	Cfre-lysP-16
Cfre-ST-67	Cfre-clpX-9	Cfre-mdh-11	Cfre-aspC-9	Cfre-arcA-3	Cfre-dnaG-8	Cfre-fadD-16	Cfre-lysP-13
Cfre-ST-68	Cfre-clpX-50	Cfre-mdh-7	Cfre-aspC-7	Cfre-arcA-3	Cfre-dnaG-45	Cfre-fadD-55	Cfre-lysP-44
Cfre-ST-69	Cfre-clpX-12	Cfre-mdh-31	Cfre-aspC-26	Cfre-arcA-7	Cfre-dnaG-22	Cfre-fadD-13	Cfre-lysP-32
Cfre-ST-70	Cfre-clpX-12	Cfre-mdh-6	Cfre-aspC-10	Cfre-arcA-5	Cfre-dnaG-9	Cfre-fadD-41	Cfre-lysP-11
Cfre-ST-71	Cfre-clpX-40	Cfre-mdh-38	Cfre-aspC-39	Cfre-arcA-14	Cfre-dnaG-36	Cfre-fadD-46	Cfre-lysP-38
Cfre-ST-72	Cfre-clpX-40	Cfre-mdh-38	Cfre-aspC-39	Cfre-arcA-14	Cfre-dnaG-36	Cfre-fadD-45	Cfre-lysP-38
Cfre-ST-73	Cfre-clpX-41	Cfre-mdh-39	Cfre-aspC-40	Cfre-arcA-15	Cfre-dnaG-23	Cfre-fadD-47	Cfre-lysP-39
Cfre-ST-74	Cfre-clpX-42	Cfre-mdh-39	Cfre-aspC-40	Cfre-arcA-15	Cfre-dnaG-23	Cfre-fadD-47	Cfre-lysP-39
Cfre-ST-75	Cfre-clpX-43	Cfre-mdh-18	Cfre-aspC-41	Cfre-arcA-14	Cfre-dnaG-19	Cfre-fadD-48	Cfre-lysP-12
Cfre-ST-76	Cfre-clpX-42	Cfre-mdh-39	Cfre-aspC-40	Cfre-arcA-27	Cfre-dnaG-23	Cfre-fadD-47	Cfre-lysP-39
Cfre-ST-77	Cfre-clpX-43	Cfre-mdh-18	Cfre-aspC-41	Cfre-arcA-14	Cfre-dnaG-19	Cfre-fadD-48	Cfre-lysP-40
Cfre-ST-78	Cfre-clpX-44	Cfre-mdh-40	Cfre-aspC-42	Cfre-arcA-28	Cfre-dnaG-37	Cfre-fadD-49	Cfre-lysP-41
Cfre-ST-79	Cfre-clpX-22	Cfre-mdh-41	Cfre-aspC-43	Cfre-arcA-29	Cfre-dnaG-38	Cfre-fadD-50	Cfre-lysP-42
Cfre-ST-80	Cfre-clpX-20	Cfre-mdh-18	Cfre-aspC-23	Cfre-arcA-14	Cfre-dnaG-35	Cfre-fadD-51	Cfre-lysP-42
