stid	a1	a2	a3	a4	a5	a6	a7
Ecol-ST-66	Ecol-MDH-5	Ecol-GYRB-20	Ecol-RECA-2	Ecol-ICD-6	Ecol-PURA-5	Ecol-FUMC-22	Ecol-ADK-6
Ecol-ST-67	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-19	Ecol-ADK-6
Ecol-ST-68	Ecol-MDH-5	Ecol-GYRB-2	Ecol-RECA-19	Ecol-ICD-31	Ecol-PURA-16	Ecol-FUMC-26	Ecol-ADK-33
Ecol-ST-69	Ecol-MDH-5	Ecol-GYRB-27	Ecol-RECA-4	Ecol-ICD-6	Ecol-PURA-5	Ecol-FUMC-35	Ecol-ADK-21
Ecol-ST-70	Ecol-MDH-28	Ecol-GYRB-28	Ecol-RECA-4	Ecol-ICD-25	Ecol-PURA-16	Ecol-FUMC-36	Ecol-ADK-34
Ecol-ST-71	Ecol-MDH-4	Ecol-GYRB-28	Ecol-RECA-4	Ecol-ICD-25	Ecol-PURA-16	Ecol-FUMC-37	Ecol-ADK-34
Ecol-ST-72	Ecol-MDH-4	Ecol-GYRB-29	Ecol-RECA-18	Ecol-ICD-25	Ecol-PURA-5	Ecol-FUMC-37	Ecol-ADK-35
Ecol-ST-73	Ecol-MDH-17	Ecol-GYRB-9	Ecol-RECA-25	Ecol-ICD-13	Ecol-PURA-11	Ecol-FUMC-24	Ecol-ADK-36
Ecol-ST-74	Ecol-MDH-17	Ecol-GYRB-9	Ecol-RECA-25	Ecol-ICD-13	Ecol-PURA-5	Ecol-FUMC-24	Ecol-ADK-36
Ecol-ST-75	Ecol-MDH-20	Ecol-GYRB-5	Ecol-RECA-6	Ecol-ICD-10	Ecol-PURA-23	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-76	Ecol-MDH-17	Ecol-GYRB-9	Ecol-RECA-26	Ecol-ICD-13	Ecol-PURA-10	Ecol-FUMC-13	Ecol-ADK-13
Ecol-ST-77	Ecol-MDH-8	Ecol-GYRB-5	Ecol-RECA-27	Ecol-ICD-1	Ecol-PURA-18	Ecol-FUMC-7	Ecol-ADK-6
Ecol-ST-78	Ecol-MDH-17	Ecol-GYRB-19	Ecol-RECA-26	Ecol-ICD-32	Ecol-PURA-24	Ecol-FUMC-38	Ecol-ADK-37
Ecol-ST-79	Ecol-MDH-17	Ecol-GYRB-19	Ecol-RECA-26	Ecol-ICD-32	Ecol-PURA-7	Ecol-FUMC-38	Ecol-ADK-37
Ecol-ST-80	Ecol-MDH-23	Ecol-GYRB-19	Ecol-RECA-10	Ecol-ICD-14	Ecol-PURA-1	Ecol-FUMC-24	Ecol-ADK-13
Ecol-ST-81	Ecol-MDH-17	Ecol-GYRB-10	Ecol-RECA-21	Ecol-ICD-14	Ecol-PURA-7	Ecol-FUMC-14	Ecol-ADK-14
Ecol-ST-82	Ecol-MDH-29	Ecol-GYRB-30	Ecol-RECA-28	Ecol-ICD-13	Ecol-PURA-25	Ecol-FUMC-39	Ecol-ADK-38
Ecol-ST-83	Ecol-MDH-30	Ecol-GYRB-19	Ecol-RECA-29	Ecol-ICD-13	Ecol-PURA-25	Ecol-FUMC-38	Ecol-ADK-13
Ecol-ST-84	Ecol-MDH-24	Ecol-GYRB-31	Ecol-RECA-2	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-29	Ecol-ADK-6
Ecol-ST-85	Ecol-MDH-11	Ecol-GYRB-32	Ecol-RECA-7	Ecol-ICD-26	Ecol-PURA-26	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-86	Ecol-MDH-24	Ecol-GYRB-33	Ecol-RECA-7	Ecol-ICD-33	Ecol-PURA-8	Ecol-FUMC-6	Ecol-ADK-9
Ecol-ST-87	Ecol-MDH-20	Ecol-GYRB-14	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-6
Ecol-ST-88	Ecol-MDH-20	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-12	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-89	Ecol-MDH-20	Ecol-GYRB-4	Ecol-RECA-7	Ecol-ICD-34	Ecol-PURA-7	Ecol-FUMC-7	Ecol-ADK-39
Ecol-ST-90	Ecol-MDH-20	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-91	Ecol-MDH-23	Ecol-GYRB-34	Ecol-RECA-30	Ecol-ICD-13	Ecol-PURA-28	Ecol-FUMC-40	Ecol-ADK-13
Ecol-ST-92	Ecol-MDH-23	Ecol-GYRB-19	Ecol-RECA-10	Ecol-ICD-36	Ecol-PURA-11	Ecol-FUMC-14	Ecol-ADK-40
Ecol-ST-93	Ecol-MDH-7	Ecol-GYRB-4	Ecol-RECA-6	Ecol-ICD-10	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-6
Ecol-ST-94	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-8	Ecol-FUMC-6	Ecol-ADK-41
Ecol-ST-95	Ecol-MDH-17	Ecol-GYRB-19	Ecol-RECA-26	Ecol-ICD-37	Ecol-PURA-11	Ecol-FUMC-38	Ecol-ADK-37
Ecol-ST-96	Ecol-MDH-7	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-38	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-97	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-12	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-42
Ecol-ST-98	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-39	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
