stid	a1	a2	a3	a4	a5	a6	a7
Paer-ST-128	Paer-mut-77	Paer-gua-11	Paer-acs-28	Paer-nuo-3	Paer-trp-92	Paer-pps-4	Paer-aro-140
Paer-ST-129	Paer-mut-7	Paer-gua-6	Paer-acs-6	Paer-nuo-2	Paer-trp-7	Paer-pps-6	Paer-aro-5
Paer-ST-130	Paer-mut-28	Paer-gua-25	Paer-acs-15	Paer-nuo-4	Paer-trp-34	Paer-pps-4	Paer-aro-8
Paer-ST-131	Paer-mut-29	Paer-gua-11	Paer-acs-6	Paer-nuo-11	Paer-trp-1	Paer-pps-15	Paer-aro-5
Paer-ST-132	Paer-mut-3	Paer-gua-1	Paer-acs-6	Paer-nuo-4	Paer-trp-2	Paer-pps-4	Paer-aro-20
Paer-ST-133	Paer-mut-3	Paer-gua-32	Paer-acs-1	Paer-nuo-4	Paer-trp-3	Paer-pps-25	Paer-aro-20
Paer-ST-134	Paer-mut-7	Paer-gua-11	Paer-acs-6	Paer-nuo-1	Paer-trp-19	Paer-pps-12	Paer-aro-20
Paer-ST-135	Paer-mut-30	Paer-gua-7	Paer-acs-23	Paer-nuo-4	Paer-trp-10	Paer-pps-4	Paer-aro-20
Paer-ST-136	Paer-mut-120	Paer-gua-113	Paer-acs-29	Paer-nuo-1	Paer-trp-122	Paer-pps-1	Paer-aro-141
Paer-ST-137	Paer-mut-13	Paer-gua-57	Paer-acs-31	Paer-nuo-1	Paer-trp-3	Paer-pps-40	Paer-aro-5
Paer-ST-138	Paer-mut-3	Paer-gua-33	Paer-acs-17	Paer-nuo-1	Paer-trp-7	Paer-pps-18	Paer-aro-32
Paer-ST-139	Paer-mut-11	Paer-gua-36	Paer-acs-35	Paer-nuo-4	Paer-trp-7	Paer-pps-42	Paer-aro-5
Paer-ST-140	Paer-mut-3	Paer-gua-1	Paer-acs-17	Paer-nuo-13	Paer-trp-7	Paer-pps-18	Paer-aro-5
Paer-ST-141	Paer-mut-13	Paer-gua-3	Paer-acs-38	Paer-nuo-1	Paer-trp-4	Paer-pps-13	Paer-aro-11
Paer-ST-142	Paer-mut-11	Paer-gua-36	Paer-acs-39	Paer-nuo-3	Paer-trp-2	Paer-pps-15	Paer-aro-6
Paer-ST-143	Paer-mut-34	Paer-gua-5	Paer-acs-39	Paer-nuo-3	Paer-trp-11	Paer-pps-10	Paer-aro-84
Paer-ST-144	Paer-mut-29	Paer-gua-36	Paer-acs-39	Paer-nuo-4	Paer-trp-37	Paer-pps-47	Paer-aro-143
Paer-ST-145	Paer-mut-3	Paer-gua-12	Paer-acs-40	Paer-nuo-4	Paer-trp-14	Paer-pps-4	Paer-aro-5
Paer-ST-146	Paer-mut-3	Paer-gua-11	Paer-acs-6	Paer-nuo-4	Paer-trp-1	Paer-pps-23	Paer-aro-5
Paer-ST-147	Paer-mut-11	Paer-gua-6	Paer-acs-40	Paer-nuo-3	Paer-trp-68	Paer-pps-4	Paer-aro-5
Paer-ST-148	Paer-mut-3	Paer-gua-1	Paer-acs-17	Paer-nuo-13	Paer-trp-7	Paer-pps-6	Paer-aro-5
Paer-ST-149	Paer-mut-5	Paer-gua-5	Paer-acs-11	Paer-nuo-4	Paer-trp-19	Paer-pps-15	Paer-aro-5
Paer-ST-150	Paer-mut-8	Paer-gua-6	Paer-acs-11	Paer-nuo-4	Paer-trp-7	Paer-pps-18	Paer-aro-5
Paer-ST-151	Paer-mut-7	Paer-gua-11	Paer-acs-19	Paer-nuo-4	Paer-trp-26	Paer-pps-15	Paer-aro-5
Paer-ST-152	Paer-mut-3	Paer-gua-19	Paer-acs-6	Paer-nuo-4	Paer-trp-7	Paer-pps-6	Paer-aro-5
Paer-ST-153	Paer-mut-11	Paer-gua-6	Paer-acs-28	Paer-nuo-4	Paer-trp-1	Paer-pps-4	Paer-aro-5
Paer-ST-154	Paer-mut-21	Paer-gua-4	Paer-acs-6	Paer-nuo-3	Paer-trp-7	Paer-pps-25	Paer-aro-6
Paer-ST-155	Paer-mut-3	Paer-gua-36	Paer-acs-28	Paer-nuo-3	Paer-trp-7	Paer-pps-13	Paer-aro-5
Paer-ST-156	Paer-mut-3	Paer-gua-28	Paer-acs-37	Paer-nuo-4	Paer-trp-7	Paer-pps-13	Paer-aro-27
Paer-ST-157	Paer-mut-7	Paer-gua-1	Paer-acs-48	Paer-nuo-9	Paer-trp-7	Paer-pps-4	Paer-aro-5
Paer-ST-158	Paer-mut-21	Paer-gua-28	Paer-acs-36	Paer-nuo-4	Paer-trp-7	Paer-pps-13	Paer-aro-27
Paer-ST-159	Paer-mut-3	Paer-gua-5	Paer-acs-28	Paer-nuo-3	Paer-trp-19	Paer-pps-14	Paer-aro-38
Paer-ST-160	Paer-mut-32	Paer-gua-6	Paer-acs-11	Paer-nuo-4	Paer-trp-26	Paer-pps-6	Paer-aro-5
Paer-ST-161	Paer-mut-3	Paer-gua-91	Paer-acs-40	Paer-nuo-27	Paer-trp-10	Paer-pps-15	Paer-aro-5
Paer-ST-162	Paer-mut-34	Paer-gua-6	Paer-acs-6	Paer-nuo-27	Paer-trp-7	Paer-pps-3	Paer-aro-5
Paer-ST-163	Paer-mut-3	Paer-gua-4	Paer-acs-6	Paer-nuo-3	Paer-trp-39	Paer-pps-4	Paer-aro-6
Paer-ST-164	Paer-mut-11	Paer-gua-1	Paer-acs-1	Paer-nuo-4	Paer-trp-10	Paer-pps-10	Paer-aro-5
Paer-ST-165	Paer-mut-5	Paer-gua-7	Paer-acs-1	Paer-nuo-4	Paer-trp-2	Paer-pps-4	Paer-aro-19
Paer-ST-166	Paer-mut-122	Paer-gua-36	Paer-acs-40	Paer-nuo-3	Paer-trp-7	Paer-pps-4	Paer-aro-5
Paer-ST-167	Paer-mut-5	Paer-gua-11	Paer-acs-40	Paer-nuo-4	Paer-trp-37	Paer-pps-38	Paer-aro-5
Paer-ST-168	Paer-mut-3	Paer-gua-12	Paer-acs-40	Paer-nuo-4	Paer-trp-10	Paer-pps-15	Paer-aro-5
Paer-ST-169	Paer-mut-67	Paer-gua-30	Paer-acs-40	Paer-nuo-3	Paer-trp-14	Paer-pps-33	Paer-aro-5
Paer-ST-170	Paer-mut-7	Paer-gua-29	Paer-acs-36	Paer-nuo-4	Paer-trp-7	Paer-pps-10	Paer-aro-5
Paer-ST-171	Paer-mut-3	Paer-gua-5	Paer-acs-28	Paer-nuo-3	Paer-trp-19	Paer-pps-14	Paer-aro-5
Paer-ST-172	Paer-mut-61	Paer-gua-7	Paer-acs-41	Paer-nuo-2	Paer-trp-7	Paer-pps-29	Paer-aro-55
Paer-ST-173	Paer-mut-3	Paer-gua-1	Paer-acs-30	Paer-nuo-2	Paer-trp-7	Paer-pps-7	Paer-aro-10
Paer-ST-174	Paer-mut-6	Paer-gua-7	Paer-acs-47	Paer-nuo-8	Paer-trp-40	Paer-pps-12	Paer-aro-8
Paer-ST-175	Paer-mut-3	Paer-gua-5	Paer-acs-28	Paer-nuo-3	Paer-trp-19	Paer-pps-14	Paer-aro-22
Paer-ST-176	Paer-mut-4	Paer-gua-4	Paer-acs-3	Paer-nuo-4	Paer-trp-19	Paer-pps-4	Paer-aro-3
Paer-ST-177	Paer-mut-4	Paer-gua-4	Paer-acs-3	Paer-nuo-4	Paer-trp-7	Paer-pps-4	Paer-aro-3
Paer-ST-178	Paer-mut-3	Paer-gua-28	Paer-acs-36	Paer-nuo-4	Paer-trp-7	Paer-pps-12	Paer-aro-27
Paer-ST-179	Paer-mut-3	Paer-gua-28	Paer-acs-36	Paer-nuo-4	Paer-trp-7	Paer-pps-13	Paer-aro-27
